game_id,event_idx,period,period_time,eventType,x,y,empty_net,raw_shot_type,game_seconds,last_eventType,last_x,last_y,last_game_seconds,time_since_last_event,dist_from_last_event,shot_distance,shot_angle,shotType,is_goal,isRebound,angle_change_on_rebound,play_speed
2016020669,592,3,17:52,goal,1.0,-8.0,0,wrist,3472,blocked-shot,75.0,1.0,3446.0,26.0,74.54528824815154,88.36288813749809,5.194428907734806,wrist,1,1,1.1088121277599292,2.8671264710827518
2016020700,720,3,19:25,goal,9.0,15.0,0,wrist,3565,shot-on-goal,76.0,7.0,3523.0,42.0,67.47592163134935,81.39410298049853,10.619655276155134,wrist,1,1,17.681100489851246,1.6065695626511751
2016020732,661,3,17:36,goal,10.0,37.0,0,wrist,3456,hit,79.0,-40.0,3440.0,16.0,103.39245620450264,87.23531395025755,25.096250462692165,wrist,1,0,0.0,6.462028512781416
2016020759,631,3,19:46,goal,10.0,15.0,0,wrist,3586,giveaway,29.0,-27.0,3581.0,5.0,46.09772228646444,80.4114419718985,10.75096699318805,wrist,1,0,0.0,9.219544457292889
2016020779,592,3,19:42,goal,3.0,1.0,0,wrap-around,3582,takeaway,25.0,3.0,3580.0,2.0,22.09072203437452,86.00581375697809,0.6661999701831416,wrap-around,1,0,0.0,11.04536101718726
2016020818,686,3,19:22,goal,9.0,-5.0,0,snap,3562,blocked-shot,82.0,0.0,3552.0,10.0,73.17103251970687,80.15609770940699,3.576334374997351,snap,1,1,3.576334374997351,7.317103251970687
2016020825,631,3,19:24,goal,7.0,35.0,0,wrist,3564,faceoff,0.0,0.0,3559.0,5.0,35.6931365951495,89.15716460273958,23.114207983326832,wrist,1,0,0.0,7.138627319029899
2016020859,677,3,18:43,goal,9.0,-32.0,0,wrist,3523,blocked-shot,75.0,-11.0,3516.0,7.0,69.26037828369117,86.16263691415206,21.80140948635181,wrist,1,1,16.355817101017248,9.894339754813023
2016020865,623,3,18:05,goal,9.0,-36.0,0,wrist,3485,giveaway,97.0,-10.0,3475.0,10.0,91.76055797563568,87.72684879784524,24.22774531795417,wrist,1,0,0.0,9.176055797563569
2016020867,152,1,12:44,goal,7.0,14.0,0,slap,764,missed-shot,60.0,-9.0,752.0,12.0,57.77542730261716,83.18653737234169,9.688786560366802,slap,1,1,7.552672838573171,4.814618941884763
